,title,deputado_id,year,number,full_ref,vote,sessao_id,date,type
24395,"PT - DESTAQUE DE PREFERÊNCIA PARA VOTAÇÃO DA PEC Nº 61/2011",524907,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
29480,"DVS - DEM - CAPUT DO ART. 76 DO ADCT CONST. DO ART. 1º DA PEC 61/2011",530138,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
1446,"REQUERIMENTO DE RETIRADA DE PAUTA",522059,2007,98,"PEC  N  98 2007",N,332,2011-11-22,PEC
10396,"REQUERIMENTO DE RETIRADA DE PAUTA",530067,2011,532,"MPV  N  532 2011",N,206,2011-08-16,MPV
22980,"DVS - PV - ART. 2º  DO  PLV",520068,2010,512,"MPV  N  512 2010",N,68,2011-04-13,MPV
10972,"DVS - PPS - EXP "" OU QUE VIEREM A SER CRIADOS... LEGAIS "" CAPUT ART. 76",526179,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
29274,"DVS - PSDB - EMENDA Nº 3",525440,2011,528,"MPV  N  528 2011",N,175,2011-07-05,MPV
620,"REQ. DE CONCESSÃO DO PRAZO DE 1 SESSÃO P/ VOTAÇÃO DO PLV",522236,2011,530,"MPV  N  530 2011",N,190,2011-08-03,MPV
18995,"DVS - DEM- EXP "" E DE INTERVENÇÃO DE DOMINIO ECONÔMICO"" CAP ART. 76",524876,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
11104,"DVS - PSDB - EXPRESSÃO ""JÁ INSTITUIDOS  "" CAPUT  ART. 76",524520,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
15715,"DVS -DEM- EXP ""OU QUE VIEREM A SER CRIADOS...DATA""   CAPUT ART. 76",530214,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
12340,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",525279,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
27022,"REQUERIMENTO DE RETIRADA DE PAUTA",522097,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
21046,"REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO",523198,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
13239,"DVS - DEM - EMENDA Nº 34",530152,2011,528,"MPV  N  528 2011",N,175,2011-07-05,MPV
3547,"REQUERIMENTO DE RETIRADA DE PAUTA",530097,2007,98,"PEC  N  98 2007",N,332,2011-11-22,PEC
20393,"DVS - PSDB - ART. 12 DO PLV",523597,2011,532,"MPV  N  532 2011",S,209,2011-08-17,MPV
11690,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",523097,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
22864,"DVS - PSDB - EMENDA Nº 3",530204,2011,528,"MPV  N  528 2011",S,175,2011-07-05,MPV
27569,"DVS - DEM - CAPÍTULO I DO PLV",530019,2011,527,"MPV  N  527 2011",S,167,2011-06-28,MPV
22026,"DVS -DEM- EXP ""OU QUE VIEREM A SER CRIADOS...DATA""   CAPUT ART. 76",532214,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
4248,"EMENDA SUBSTITUTIVA GLOBAL DE PLENÁRIO Nº 186",530077,1999,1876,"PL   N  1876 1999",S,123,2011-05-24,PL
28917,"REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 4 SESSÕES",531099,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
1786,"DVS - PSDB - ART. 20 DO PLV",525539,2010,517,"MPV  N  517 2010",S,126,2011-05-25,MPV
7577,"CONTRA A DEPUTADA JAQUELINE RORIZ - PMN/DF",530060,2011,1,"REP  N  1 2011",S,225,2011-08-30,REP
28035,"PROJETO DE DECRETO LEGISLATIVO",531878,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
1179,"DVS - DEM - ART. 24 DO PLV",531759,2010,517,"MPV  N  517 2010",N,126,2011-05-25,MPV
15126,"DVS - PSDB - EXP. ""ATÉ 31 DE DEZEMBRO DE 2013"" EMENDA 4 SUB ART. 76 PEC",520341,2011,61,"PEC  N  61 2011",N,316,2011-11-09,PEC
12235,"REQUERIMENTO DE RETIRADA DE PAUTA",530111,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
26875,"DVS - PV-PPS - EMENDA 64",530140,2010,517,"MPV  N  517 2010",S,126,2011-05-25,MPV
1364,"EMENDA Nº 1",526610,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
27857,"DVS - PSDB - EXPRESSÃO ""JÁ INSTITUIDOS  "" CAPUT  ART. 76",520521,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
21234,"DVS - PV-PPS - EMENDA 64",523150,2010,517,"MPV  N  517 2010",N,126,2011-05-25,MPV
15219,"PROJETO DE DECRETO LEGISLATIVO",530662,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
1994,"DVS - DEM - ART. 16 DA SUBEMENDA SUBSTITUTIVA GLOBAL DA CFT",528219,2008,306,"PLP  N  306 2008",N,255,2011-09-21,PLP
19965,"DVS - PPS - ART. 46 DO PLV",530184,2011,540,"MPV  N  540 2011",S,299,2011-10-26,MPV
17456,"DVS - DEM - ART. 3º-A DA LEI 9933/99, ART. 13 DO PLV",532006,2011,541,"MPV  N  541 2011",N,287,2011-10-19,MPV
5925,"DVS - DEM - EMENDA Nº 22",523144,2011,382,"PL   N  382 2011",N,13,2011-02-16,PL
15221,"DVS - PSDB -  ART. 5º DO PLV",530662,2010,513,"MPV  N  513 2010",S,84,2011-04-26,MPV
1171,"DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3º DO PL 382/2011 (...)",531759,2011,382,"PL   N  382 2011",S,14,2011-02-16,PL
10247,"REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO",524640,2010,2600,"PDC  N  2600 2010",N,60,2011-04-06,PDC
10897,"DVS - DEM - EMENDA Nº 34",530159,2011,528,"MPV  N  528 2011",N,175,2011-07-05,MPV
29145,"DVS -PDT-EXP:"" SALVO NA ETAPA DE...LASER"", ART. 150, VI, e / ART.1º SUBST.",526520,2007,98,"PEC  N  98 2007",N,332,2011-11-22,PEC
25462,"DVS - DEM- EXP "" E DE INTERVENÇÃO DE DOMINIO ECONÔMICO"" CAP ART. 76",530124,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
25245,"DVS -DEM- EXP ""OU QUE VIEREM A SER CRIADOS...DATA""   CAPUT ART. 76",530046,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
3514,"DVS - PSDB - § 3º DO ART. 8º DO PLV",530097,2011,527,"MPV  N  527 2011",S,167,2011-06-28,MPV
2254,"DVS - PSDB - EXPRESSÃO ""JÁ INSTITUIDOS  "" CAPUT  ART. 76",521241,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
29383,"DVS - DEM - INC. IV DO ART. 24d DA LEI 10.683/03 (ART. 1º DA MP)",521577,2011,527,"MPV  N  527 2011",S,168,2011-06-28,MPV
1718,"DVS - PSDB - EXP. ""ATÉ 31 DE DEZEMBRO DE 2013"" EMENDA 4 SUB ART. 76 PEC",530137,2011,61,"PEC  N  61 2011",S,316,2011-11-09,PEC
11968,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",527082,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
1243,"REQUERIMENTO DE RETIRADA DE PAUTA",530033,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
10860,"DVS -DEM- EXP ""OU QUE VIEREM A SER CRIADOS...DATA""   CAPUT ART. 76",521065,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
8694,"REQUERIMENTO DE RETIRADA DE PAUTA",530027,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
20951,"DVS - PSDB - EXPRESSÃO ""JÁ INSTITUÍDOS""",521038,2011,61,"PEC  N  61 2011",S,316,2011-11-09,PEC
3281,"REQUERIMENTO DE RETIRADA DE PAUTA",530897,2011,61,"PEC  N  61 2011",S,313,2011-11-08,PEC
10603,"REQUERIMENTO DE RETIRADA DE PAUTA",524817,2010,502,"MPV  N  502 2010",N,19,2011-02-22,MPV
17230,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",530081,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
17854,"DVS - DEM - ART. 23 DO PLV",523941,2010,511,"MPV  N  511 2010",S,59,2011-04-06,MPV
24556,"DVS - PT - § 7º DO ART. 11-B CONSTANTE DO ART. 1º DO PLV",528650,2010,512,"MPV  N  512 2010",S,68,2011-04-13,MPV
24963,"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO",530142,2011,532,"MPV  N  532 2011",S,208,2011-08-17,MPV
9681,"DVS - PT - § 7º DO ART. 11-B CONSTANTE DO ART. 1º DO PLV",530125,2010,512,"MPV  N  512 2010",S,68,2011-04-13,MPV
27044,"DVS - DEM - EMENDA Nº 22",530000,2011,382,"PL   N  382 2011",N,13,2011-02-16,PL
22442,"REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO",531877,2010,502,"MPV  N  502 2010",N,19,2011-02-22,MPV
22151,"REQUERIMENTO DE RETIRADA DE PAUTA",530194,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
