party,state,name,id
PSDB,TO,EDUARDO GOMES,524218
PSD,PR,EDUARDO SCIARRA,522190
DEM,PB,EFRAIM FILHO,526284
PMDB,PA,ELCIONE BARBALHO,526158
PSD,SP,ELEUSES PAIVA,533309
DEM,SP,ELI CORREA FILHO,530199
PT,RJ,ELIANE ROLIM,532347
PSD,MT,ELIENE LIMA,526068
PMDB,RS,ELISEU PADILHA,533082
PSDB,SP,EMANUEL FERNANDES,528412
PT,BA,EMILIANO JOSÉ,530660
PDT,RS,ENIO BACCI,523088
PT,DF,ERIKA KOKAY,530044
PSC,BA,ERIVELTON SANTANA,530027
PTB,MG,EROS BIONDINI,530070
PP,SC,ESPERIDIÃO AMIN,530169
PT,CE,EUDES XAVIER,524943
PCdoB,AP,EVANDRO MILHOMEN,520258
PSD,RN,FÁBIO FARIA,527539
PV,MG,FÁBIO RAMALHO,525627
DEM,BA,FÁBIO SOUTO,520353
PMDB,MS,FABIO TRAD,530082
PT,RN,FÁTIMA BEZERRA,522825
PMDB,AP,FÁTIMA PELAES,524709
PSD,RJ,FELIPE BORNIER,527042
DEM,RN,FELIPE MAIA,527540
PDT,BA,FÉLIX MENDONÇA JÚNIOR,530017
PSB,PE,FERNANDO COELHO FILHO,526411
PT,PE,FERNANDO FERRO,521798
PSDB,PR,FERNANDO FRANCISCHINI,530125
PMDB,RJ,FERNANDO JORDÃO,532149
PT,RS,FERNANDO MARRONI,532966
PSD,BA,FERNANDO TORRES,530028
PSC,RJ,FILIPE PEREIRA,527045
PDT,GO,FLÁVIA MORAIS,530053
PMDB,AC,FLAVIANO MELO,524512
PSD,RR,FRANCISCO ARAÚJO,532929
PMDB,MA,FRANCISCO ESCÓRCIO,531070
PR,RJ,FRANCISCO FLORIANO,530139
PT,AM,FRANCISCO PRACIANO,524640
PMDB,SP,GABRIEL CHALITA,530201
PT,MG,GABRIEL GUIMARÃES,530067
PMDB,CE,GENECIAS NORONHA,530037
PRB,MG,GEORGE HILTON,525638
PMDB,MS,GERALDO RESENDE,521466
PT,BA,GERALDO SIMÕES,524817
PSD,MG,GERALDO THADEU,521216
PR,PR,GIACOBO,522180
PT,MG,GILMAR MACHADO,521065
PDT,RS,GIOVANI CHERINI,530159
PDT,PA,GIOVANNI QUEIROZ,526179
PMDB,MS,GIROTO,530083
PSB,AL,GIVALDO CARIMBÃO,520124
PP,AC,GLADSON CAMELI,524520
PSB,RJ,GLAUBER BRAGA,527072
PSB,PE,GONZAGA PATRIOTA,521901
PR,CE,GORETE PEREIRA,520468
PSD,SP,GUILHERME CAMPOS,528487
PSD,SP,GUILHERME MUSSI,530203
PRB,SE,HELENO SILVA,530178
PSD,MA,HÉLIO SANTOS,530061
PV,AC,HENRIQUE AFONSO,520015
PMDB,RN,HENRIQUE EDUARDO ALVES,522840
PT,RS,HENRIQUE FONTANA,523097
PR,AM,HENRIQUE OLIVEIRA,530010
PMDB,PR,HERMES PARCIANELLO,522119
PSD,GO,HEULER CRUVINEL,530056
PSD,MT,HOMERO PEREIRA,526079
PSC,RJ,HUGO LEAL,527082
PMDB,PB,HUGO MOTTA,530096
PSD,PI,HUGO NAPOLEÃO,530115
PR,PE,INOCÊNCIO OLIVEIRA,521856
PP,PI,IRACEMA PORTELLA,530111
PSD,TO,IRAJÁ ABREU,530216
PMDB,GO,ÍRIS DE ARAÚJO,525279
PSOL,SP,IVAN VALENTE,523546
PR,DF,IZALCI,525097
PR,MG,JAIME MARTINS,521243
PP,RJ,JAIR BOLSONARO,522255
DEM,MG,JAIRO ATAÍDE,531199
PCdoB,RJ,JANDIRA FEGHALI,530146
PSB,AP,JANETE CAPIBERIBE,520257
PT,SP,JANETE ROCHA PIETÁ,528531
PRP,BA,JÂNIO NATAL,530030
PMN,DF,JAQUELINE RORIZ,530047
PSOL,RJ,JEAN WYLLYS,530145
PSD,SP,JEFFERSON CAMPOS,523964
PP,RS,JERÔNIMO GOERGEN,530158
PT,PI,JESUS RODRIGUES,530113
PRB,RR,JHONATAN DE JESUS,530152
PT,SP,JILMAR TATTO,528540
PCdoB,MG,JÔ MORAES,525831
PCdoB,CE,JOÃO ANANIAS,530041
PMDB,PR,JOÃO ARRUDA,530118
DEM,MG,JOÃO BITTAR,531198
PSDB,GO,JOÃO CAMPOS,520857
PR,BA,JOÃO CARLOS BACELAR,524833
PDT,SP,JOÃO DADO,528553
PSD,AL,JOÃO LYRA,530006
PMDB,MG,JOÃO MAGALHÃES,521109
PR,RN,JOÃO MAIA,527550
PT,SP,JOÃO PAULO CUNHA,523543
PT,PE,JOÃO PAULO LIMA,530101
PP,SC,JOÃO PIZZOLATTI,523257
PMDB,AL,JOAQUIM BELTRÃO,524585
PSB,SP,JONAS DONIZETTE,530200
PSD,SC,JORGE BOEIRA,523277
PTB,PE,JORGE CORTE REAL,530102
DEM,SP,JORGE TADEU MUDALEN,528578
PSDB,SC,JORGINHO MELLO,530176
PT,CE,JOSÉ AIRTON,525000
PTB,PE,JOSÉ AUGUSTO MAIA,530103
PSD,BA,JOSÉ CARLOS ARAÚJO,520332
PTB,PE,JOSÉ CHAVES,521816
PT,SP,JOSÉ DE FILIPPI,530189
PT,CE,JOSÉ GUIMARÃES,525011
PHS,MG,JOSÉ HUMBERTO,530075
PP,CE,JOSÉ LINHARES,520409
PT,SP,JOSÉ MENTOR,523548
PSD,BA,JOSÉ NUNES,530029
PP,RS,JOSÉ OTÁVIO GERMANO,523061
PMDB,PA,JOSÉ PRIANTE,530091
PR,BA,JOSÉ ROCHA,520341
PSB,RS,JOSE STÉDILE,530166
PT,BA,JOSEPH BANDEIRA,530662
PT,BA,JOSIAS GOMES,530021
PTB,PA,JOSUÉ BENGTSON,530090
PTB,GO,JOVAIR ARANTES,520853
DEM,MT,JÚLIO CAMPOS,530087
PSD,PI,JÚLIO CESAR,522014
PSB,MG,JÚLIO DELGADO,521209
PMDB,TO,JÚNIOR COIMBRA,530214
PSD,SP,JUNJI ABE,530198
PSDB,BA,JUTAHY JUNIOR,520403
PSB,SP,KEIKO OTA,530202
DEM,MG,LAEL VARELLA,521230
PR,SE,LAERCIO OLIVEIRA,528134
PSB,TO,LAUREZ MOREIRA,529134
PSC,ES,LAURIETE,530049
PP,TO,LÁZARO BOTELHO,529135
PMDB,GO,LEANDRO VILELA,520774
PMDB,ES,LELO COIMBRA,525239
PT,MG,LEONARDO MONTEIRO,521068
PMDB,RJ,LEONARDO PICCIANI,522398
PMDB,MG,LEONARDO QUINTÃO,525771
PSB,PR,LEOPOLDO MEYER,530123
PSD,RJ,LILIAM SÁ,530136
PR,MG,LINCOLN PORTELA,521137
DEM,PA,LIRA MAIA,526195
PTdoB,MA,LOURIVAL MENDES,530062
PT,SC,LUCI CHOINACKI,530170
PCdoB,PE,LUCIANA SANTOS,530110
PR,RR,LUCIANO CASTRO,523023
PR,PA,LÚCIO VALE,526213
PMDB,BA,LUCIO VIEIRA LIMA,530026
PP,RS,LUIS CARLOS HEINZE,523066
PTdoB,MG,LUIS TIBÉ,530081
PT,BA,LUIZ ALBERTO,520290
PP,BA,LUIZ ARGÔLO,530015
PSDB,AP,LUIZ CARLOS,530014
DEM,PR,LUIZ CARLOS SETIM,532006
PT,PB,LUIZ COUTO,521703
PP,MG,LUIZ FERNANDO FARIA,525797
PSDB,SP,LUIZ FERNANDO MACHADO,530209
PSDB,PR,LUIZ NISHIMORI,532007
PSB,RS,LUIZ NOÉ,533021
PMDB,DF,LUIZ PITIMAN,530045
PSB,SP,LUIZA ERUNDINA,523941
PTB,GO,MAGDA MOFATTO,534002
PDT,ES,MANATO,520647
DEM,MS,MANDETTA,530084
PMDB,PB,MANOEL JUNIOR,526317
PSD,CE,MANOEL SALVIANO,520518
PCdoB,RS,MANUELA D'ÁVILA,527897
PSDB,SP,MARA GABRILLI,530207
PMDB,MS,MARÇAL FILHO,526015
PSD,SP,MARCELO AGUIAR,530192
PMDB,PI,MARCELO CASTRO,521987
PDT,RJ,MARCELO MATOS,530128
PSDB,AC,MARCIO BITTAR,530003
PT,SE,MÁRCIO MACÊDO,530180
PRB,BA,MÁRCIO MARINHO,524874
PP,MG,MÁRCIO REINALDO MOREIRA,521013
PT,RS,MARCO MAIA,523098
PT,RS,MARCON,530162
PDT,BA,MARCOS MEDRADO,524876
PSD,MG,MARCOS MONTES,525821
PDT,RO,MARCOS ROGÉRIO,532900
PSDB,MG,MARCUS PESTANA,530078
PT,GO,MARINA SANTANNA,531025
PMDB,RO,MARINHA RAUPP,522922
PSC,MG,MÁRIO DE OLIVEIRA,525834
PMDB,PI,MARLLOS SAMPAIO,530114
PR,AL,MAURÍCIO QUINTELLA LESSA,520128
PR,BA,MAURÍCIO TRINDADE,524882
PMDB,CE,MAURO BENEVIDES,520437
PMDB,MG,MAURO LOPES,521107
PMDB,SC,MAURO MARIANI,528067
PSB,RO,MAURO NAZIF,527629
DEM,PE,MENDONÇA FILHO,530105
DEM,SE,MENDONÇA PRADO,523410
PT,MG,MIGUEL CORRÊA,525846
PR,SP,MILTON MONTI,523624
PT,PA,MIRIQUINHO BATISTA,530089
PDT,RJ,MIRO TEIXEIRA,522296
PP,SP,MISSIONÁRIO JOSÉ OLIMPIO,530184
PMDB,PR,MOACIR MICHELETTO,522106
PSD,RO,MOREIRA MENDES,527640
PMDB,RO,NATAN DONADON,522928
PT,PI,NAZARENO FONTELES,531922
PR,RJ,NEILTON MULIM,527347
PMDB,RJ,NELSON BORNIER,532148
PSDB,RS,NELSON MARCHEZAN JUNIOR,530167
PTB,SP,NELSON MARQUEZELLI,523597
PP,PR,NELSON MEURER,522040
PSC,PR,NELSON PADOVANI,530120
PT,BA,NELSON PELLEGRINO,520301
PMDB,MG,NEWTON CARDOSO,530071
PT,SP,NEWTON LIMA,530188
PSD,MA,NICE LOBÃO,520930
PMDB,PB,NILDA GONDIM,530094
PSDB,MT,NILSON LEITÃO,534005
PTB,RO,NILTON CAPIXABA,530151
PT,MG,ODAIR CUNHA,521038
PSD,SC,ONOFRE SANTO AGOSTINI,530175
DEM,RS,ONYX LORENZONI,523198
PCdoB,PI,OSMAR JÚNIOR,526575
PMDB,PR,OSMAR SERRAGLIO,522117
PMDB,RS,OSMAR TERRA,523150
PSDB,RJ,OTAVIO LEITE,527369
PRB,SP,OTONIEL LIMA,530183
PDT,BA,OZIEL OLIVEIRA,530016
PT,MG,PADRE JOÃO,530068
PT,RO,PADRE TON,530150
PTB,PI,PAES LANDIM,522008
PSB,PE,PASTOR EURICO,530108
PSC,SP,PASTOR MARCO FELICIANO ,530191
DEM,AM,PAUDERNEY AVELINO,530011
PSDB,MG,PAULO ABI-ACKEL,525873
DEM,RR,PAULO CESAR QUARTIERO,530155
PR,RJ,PAULO FEIJÓ,532214
PSB,ES,PAULO FOLETTO,530051
PR,SP,PAULO FREIRE,530194
PSD,BA,PAULO MAGALHÃES,520343
PP,SP,PAULO MALUF,528890
PDT,SP,PAULO PEREIRA DA SILVA,528881
PMDB,MG,PAULO PIAU,525878
PT,RS,PAULO PIMENTA,523094
PDT,PE,PAULO RUBEM SANTIAGO,531877
PT,SP,PAULO TEIXEIRA,528722
PV,RN,PAULO WAGNER,530148
PMDB,GO,PEDRO CHAVES,520787
PT,PE,PEDRO EUGÊNIO,526489
PP,MT,PEDRO HENRY,521507
PMDB,MA,PEDRO NOVAIS,520901
PT,SC,PEDRO UCZAI,530171
PV,SP,PENNA,530204
PT,RS,PEPE VARGAS,527813
PCdoB,AC,PERPÉTUA ALMEIDA,520068
PSDB,MA,PINTO ITAMARATY,525428
PT,DF,POLICARPO,530896
PMDB,MA,PROFESSOR SETIMO,525474
DEM,TO,PROFESSORA DORINHA SEABRA REZENDE ,530217
PMDB,CE,RAIMUNDÃO,530036
PSDB,CE,RAIMUNDO GOMES DE MATOS,520511
PSC,PR,RATINHO JUNIOR,526627
PMDB,PE,RAUL HENRY,526493
PSD,RR,RAUL LIMA,530153
PP,AM,REBECCA GARCIA,524687
PT,MG,REGINALDO LOPES,521043
PDT,DF,REGUFFE,530042
PSDB,MS,REINALDO AZAMBUJA,530085
PSD,PR,REINHOLD STEPHANES,522109
PMDB,AL,RENAN FILHO,530007
PP,RS,RENATO MOLLING,527952
PP,MG,RENZO BRAZ,530064
PSB,MA,RIBAMAR ALVES,520978
PT,SP,RICARDO BERZOINI,523547
PSD,SP,RICARDO IZAR,530206
PSDB,SP,RICARDO TRIPOLI,528647
PP,GO,ROBERTO BALESTRA,520737
PP,BA,ROBERTO BRITTO,524907
PV,SP,ROBERTO DE LUCENA,530205
PPS,SP,ROBERTO FREIRE,530195
PSD,SP,ROBERTO SANTIAGO,528650
PP,PE,ROBERTO TEIXEIRA,530100
PSDB,MG,RODRIGO DE CASTRO,525903
DEM,RJ,RODRIGO MAIA,522553
PT,SE,ROGÉRIO CARVALHO,530179
PSDB,RN,ROGÉRIO MARINHO,532847
PMDB,SC,ROGÉRIO PENINHA MENDONÇA,530173
PMDB,SC,ROMANNA REMOR,533132
PSB,RJ,ROMÁRIO,530142
PSDB,PB,ROMERO RODRIGUES,530098
PMDB,SC,RONALDO BENEDET,530172
DEM,GO,RONALDO CAIADO,520831
PR,DF,RONALDO FONSECA,530046
PTB,RS,RONALDO NOGUEIRA,533055
PT,RS,RONALDO ZULKE,530160
PV,PR,ROSANE FERREIRA,530124
PMDB,ES,ROSE DE FREITAS,520730
PTdoB,AL,ROSINHA DA ADEFAL,530009
PPS,PR,RUBENS BUENO,530121
PT,GO,RUBENS OTONI,520760
PT,BA,RUI COSTA,530023
PSDB,AL,RUI PALMEIRA,530008
PSDB,PB,RUY CARNEIRO,530099
PTB,AM,SABINO CASTELO BRANCO,524686
PDT,SP,SALVADOR ZIMBALDI,530185
PP,GO,SANDES JÚNIOR,520741
PSB,RN,SANDRA ROSADO,522843
PPS,PR,SANDRO ALEX,530122
PMDB,GO,SANDRO MABEL,520829
PMDB,MG,SARAIVA FELIPE,521130
PV,MA,SARNEY FILHO,520939
PDT,AP,SEBASTIÃO BALA ROCHA,524745
PT,BA,SÉRGIO BARRADAS CARNEIRO,530661
PSD,BA,SÉRGIO BRITO,524918
PSDB,PE,SERGIO GUERRA,530109
PTB,RS,SÉRGIO MORAES,527964
PSB,PE,SEVERINO NINHO,531879
PT,AC,SIBÁ MACHADO,530001
PSD,AM,SILAS CÂMARA,520152
PTB,PE,SILVIO COSTA,526509
PP,RJ,SIMÃO SESSIM,522258
PPS,RJ,STEPAN NERCESSIAN,530140
PDT,ES,SUELI VIDIGAL,525230
PSC,PR,TAKAYAMA,522097
PT,AC,TAUMATURGO LIMA,530000
PMDB,RR,TERESA SURITA,530154
PR,SP,TIRIRICA,530193
PP,MG,TONINHO PINHEIRO,530065
PSB,SE,VALADARES FILHO,528107
PR,SP,VALDEMAR COSTA NETO,523758
PMDB,SC,VALDIR COLATTO,533129
PSDB,GO,VALDIVINO DE OLIVEIRA,530998
PT,BA,VALMIR ASSUNÇÃO,530019
PT,MS,VANDER LOUBET,521435
PSDB,SP,VANDERLEI MACRIS,533308
PT,SP,VANDERLEI SIRAQUE,533238
PSDB,SP,VAZ DE LIMA,530210
PR,CE,VICENTE ARRUDA,520521
PT,SP,VICENTE CANDIDO,530186
PT,SP,VICENTINHO,523577
PDT,RS,VIEIRA DA CUNHA,527766
PRB,PE,VILALBA,531878
PP,RS,VILSON COVATTI,527977
PR,AP,VINICIUS GURGEL,530013
PRB,RJ,VITOR PAULO,530126
DEM,MG,VITOR PENIDO,531196
PT,BA,WALDENOR PEREIRA,530022
PP,MA,WALDIR MARANHÃO,525478
PTB,RJ,WALNEY ROCHA,530132
PSD,SP,WALTER IHOSHI,533313
PSD,MG,WALTER TOSTA,530076
PSDB,PA,WANDENKOLK GONÇALVES,526260
PMDB,RJ,WASHINGTON REIS,530134
