explicacao_ementa,apreciacao,ementa,situacao,tipo,ano,numero,autor,regime_tramitacao,links_inteiro_teor,data,id
"Altera as Leis nºs 12.249, de 11 de junho de 2010; 11.887, de 24 de dezembro de 2008;  11.079, de 30 de dezembro de 2004; 11.314, de 03 de julho de 2006; revoga o inciso IV do art. 3º da Lei nº 11.887, de 2008.",Proposição Sujeita à Apreciação do Plenário,"Autoriza o Fundo de Compensação de Variações Salariais - FCVS a assumir, na forma disciplinada em ato do Conselho Curador do Fundo de Compensação de Variações Salariais - CCFCVS, direitos e obrigações do Seguro Habitacional do Sistema Financeiro da Habitação - SH/SFH, oferecer cobertura direta a contratos de financiamento habitacional averbados na Apólice do SH/SFH, autoriza o Departamento Nacional de Infraestrutura de Transporte - DNIT a utilizar recursos federais em apoio à transferência definitiva do domínio da malha rodoviária federal para os Estados, acresce o Porto do Pólo Industrial de Manaus no item 4.2 da Relação Descritiva dos Portos Marítimos, Fluviais e Lacustres, integrante do Anexo do Plano Nacional de Viação, aprovado pela Lei nº 5.917, de 10 de setembro de 1973, e dá outras providências.",Tranformada no(a) Lei Ordinária 12409/2011,MPV,2010,513,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=823798,2010-11-26,487966
"Revoga  dispositivos das  Lei nºs 11.977, de 7 de julho de 2009; 6.015, de 31 de dezembro de 1973; o art. 2º da Medida Provisória nº 2.197-43, de 24 de agosto de 2001
 e a partir de 31 de dezembro de 2011, os arts. 5º e 12, o caput e o § 2º do art. 18 e o caput do art. 19 da Lei nº 11.977, de 7 de julho de 2009. 
",Proposição Sujeita à Apreciação do Plenário,"Altera a Lei nº 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa, Minha Vida - PMCMV e a regularização fundiária de assentamentos localizados em áreas urbanas, as Leis nºs 10.188, de 12 de fevereiro de 2001, 6.015, de 31 de dezembro de 1973, 6.766, de 19 de dezembro de 1979, e 4.591, de 16 de dezembro de 1964, e dá outras providências.",Tranformada no(a) Lei Ordinária 12424/2011,MPV,2010,514,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=825950,2010-12-02,488607
"Altera as Leis nºs 8.248, de 1991; 9.648, de 1998; 11.943, de 2009; 9.808, de 1999; 10.260, de 2001.  
_ Reduz o percentual do imposto devido sobre os bens desenvolvidos no País na categoria de bens de informática e automação; extingue em 2035 a cota anual da Reserva Global de Reversão; prorroga até 2015 o benefício de isenção do AFRMM para os investimentos no Nordeste e Amazônia; extingue o Fundo Nacional de Desenvolvimento; aplica aos financiamentos do FIES juros capitalizados mensalmente.   
_O PLV 13 de 2011 inclui alterações às Leis nºs 10.150, de 2000; 10.312, de 2001; 11.096, de 2005; 11.128, de 2005; 11.180, de 2005; 11.371, de 2006; 11.909, de 2009; 11.941, de 2009 e 12.249, de 2010; revoga dispositivos das Leis nºs 10.260, de 2001 e 11.096, de 2005.;  define regras para compensação de débitos e pagamento de precatórios da Fazenda Pública;  torna parcialmente desafetada a reserva particular Seringal do Triunfo no Estado do Amapá.",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre a incidência do imposto sobre a renda nas operações que especifica, altera as Leis nºs 6.404, de 15 de dezembro de 1976, 9.430, de 27 de dezembro de 1996, 11.478, de 29 de maio de 2007, e 12.350, de 20 de dezembro de 2010, institui o Regime Especial de Incentivos para o Desenvolvimento de Usinas Nucleares - RENUCLEAR, dispõe sobre medidas tributárias relacionadas ao Plano Nacional de Banda Larga, altera a legislação relativa à isenção do Adicional ao Frete para Renovação da Marinha Mercante - AFRMM, dispõe sobre a extinção do Fundo Nacional de Desenvolvimento, e dá outras providências.",Tranformada no(a) Lei Ordinária 12431/2011,MPV,2010,517,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=832161,2010-12-31,490375
"Fixa o valor de R$ 2.338,06 (dois mil, trezentos e trinta e oito reais e seis centavos) para bolsa de médico residente e garante a licença paternidade e a licença maternidade. Prorroga até 31 de dezembro de 2011 a Gratificação de Gabinete ou  a  Gratificação Temporária dos servidores ou requisitados pela Advocacia-Geral da União.",Proposição Sujeita à Apreciação do Plenário,"Altera a Lei nº 6.932, de 7 de julho de 1981, que dispõe sobre as atividades do médico-residente e prorroga o prazo de pagamento da Gratificação de Representação de Gabinete e da Gratificação Temporária para os servidores ou empregados requisitados pela Advocacia-Geral da União.",MESA - Arquivada,MPV,2010,521,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=832160,2010-12-31,490387
"
  ",Proposição Sujeita à Apreciação Interna nas Comissões,"Abertura de processo disciplinar contra a deputada JAQUELINE RORIZ (PMN/DF), por quebra da ética e do decoro parlamentar.",MESA - Arquivada,REP,2011,1,Partido Socialismo e Liberdade,Ordinária,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=850166,2011-03-16,495215
"
  ",Proposição Sujeita à Apreciação do Plenário,"Institui o Programa Nacional de Acesso ao Ensino Técnico e Emprego - PRONATEC; altera as Leis nº 7.998, de 11 de janeiro de 1990, que regula o Programa do Seguro-Desemprego, o Abono Salarial e institui o Fundo de Amparo ao Trabalhador - FAT; nº 8.212, de 24 de julho de 1991, que dispõe sobre a organização da Seguridade Social e institui Plano de Custeio; e nº 10.260, de 12 de julho de 2001. que dispõe sobre o Fundo de Financiamento ao estudante do Ensino Superior; e dá outras providências.",Tranformada no(a) Lei Ordinária 12513/2011,PL,2011,1209,Poder Executivo,Urgência art. 64 CF,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=864726,2011-04-29,500079
"
  ",Proposição Sujeita à Apreciação do Plenário,Autoriza o Poder Executivo a criar a empresa pública denominada Empresa Brasileira de Serviços Hospitalares S.A. - EBSERH e dá outras providências.,"
  ",PL,2011,1749,Poder Executivo,Urgência art. 64 CF,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=895783,2011-07-05,511029
"
  ",Proposição Sujeita à Apreciação do Plenário,"Aprova o texto do Acordo entre o Governo da República Federativa do Brasil e o Governo da República da Libéria sobre o Exercício de Atividades Remuneradas por Parte de Dependentes do Pessoal Diplomático, Consular, Militar, Administrativo e Técnico, celebrado em Brasília, em 7 de abril de 2010. ",Diversos,PDC,2011,220,Comissão de Relações Exteriores e de Defesa Nacional,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=870544,2011-05-11,501821
"Fixa o valor do salário mínimo em R$ 545,00 e fixa diretrizes para o aumento real do salário até 2015, utilizando a variação do INPC.  Altera a Lei nº 9.430, de 1996.",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre o valor do salário mínimo em 2011, a sua política de valorização de longo prazo, e disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário.",Tranformada no(a) Lei Ordinária 12382/2011,PL,2011,382,Poder Executivo,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=839270,2011-02-10,491872
"
  ",Proposição Sujeita à Apreciação do Plenário,"Aprova o texto do Acordo entre o Governo da República Federativa do Brasil e o Governo da República de Moçambique para a Instalação da Sede do Escritório Regional da FIOCRUZ para a África, celebrado em Brasília, em 4 de setembro de 2008. ",Tranformada no(a) Decreto Legislativo 355/2011,PDC,2011,47,Comissão de Relações Exteriores e de Defesa Nacional,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=857177,2011-04-07,497616
