explicacao_ementa,apreciacao,ementa,situacao,tipo,ano,numero,autor,regime_tramitacao,links_inteiro_teor,data,id
"
  ",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre a convocação de plebiscito para consultar o eleitorado sobre a instituição da simultaneidade das eleições municipais, distritais, estaduais e federais. ",Diversos,PDC,2011,514,Jovair Arantes,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=941437,2011-11-22,528091
"O PLV apresentado autoriza a União Federal a Conceder subvenção econômica, referente a safra de 2010/2011, para produtores independentes de cana-de-açúcar, que desenvolvam suas atividades na área de atuação da Sudene.",Proposição Sujeita à Apreciação do Plenário,"Altera a Lei nº 11.110, de 25 de abril de 2005, para autorizar a União a conceder subvenção econômica, sob a forma de equalização de parte dos custos a que estão sujeitas as instituições financeiras para contratação e acompanhamento de operações de microcrédito produtivo orientado e autoriza a concessão de subvenção econômica, sob a modalidade de equalização de taxa de juros, nas operações de financiamento para a estocagem de álcool combustível, e altera a Lei nº 10.453, de 13 de maio de 2002.",Tranformada no(a) Lei Ordinária 12666/2012,MPV,2011,554,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=956260,2011-12-26,533505
Aumenta a pena para os crimes de contrabando e descaminho.,Proposição Sujeita à Apreciação do Plenário,"Da nova redação ao art. 334 do Código Penal e acrescenta o art. 334-A,  também no Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.",MESA - Aguardando Retorno ,PL,2011,643,Efraim Filho,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=846215,2011-03-02,494004
"Estabelece os critérios a serem adotados para expedição da certidão de quitação eleitoral e estipula sanções aos candidatos, no caso de desaprovação de suas contas de campanha.",Proposição Sujeita à Apreciação do Plenário,"Altera a redação da Lei nº 9.504, de 30 de setembro de 1997.

",MESA - Aguardando Retorno ,PL,2012,3839,Roberto Balestra,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=990244,2012-05-09,544136
"Altera os arts. 115, 117, 119 e revoga o art. 118 da Lei nº 12.249, de 2010 . O PLV  apresentado inclui, na mesma lei, o art. 69-A,  suspendendo, até 30 de junho de 2013, as execuções fiscais  de débitos oriundos de operações de crédito rural, de responsabilidade de produtores rurais vinculados ao Projeto Agro-Industrial Canavieiro Abraham Lincoln- Pacal, situado no Pará.",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre alterações nos limites dos Parques Nacionais da Amazônia, dos Campos Amazônicos e Mapinguari, das Florestas Nacionais de Itaituba I, Itaituba II e do Crepori e da Área de Proteção Ambiental do Tapajós, e dá outras providências",Tranformada no(a) Lei Ordinária 12678/2012,MPV,2012,558,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=995878,2012-01-06,533535
"Alteração do § 1º, art. 15 da Lei nº 3.890-A, de 25 de abril de 1961.
O PLV apresentado altera também  as Leis nºs 9.718, de 1998; 10.637, de 2002; 10.833, de 2003; 10.887 e 11.033, de 2004; 11.128, de 2005; 12.024 e 12.101, de 2009; 12.429, 12.462 e 12.546, de 2011.",Proposição Sujeita à Apreciação do Plenário,Autoriza a Centrais Elétricas Brasileiras S.A. - ELETROBRAS a adquirir participação na Celg Distribuição S.A. - CELG D e dá outras providências.,Tranformada no(a) Lei Ordinária 12688/2012,MPV,2012,559,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=967534,2012-03-05,535959
"
  ",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre o acesso a informações da Internet, e dá outras providências.",PLEN - Pronta para Pauta,PL,2001,5403,Senado Federal - LUIZ ESTEVÃO,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=22976,2001-09-24,34462
"
  ",Proposição Sujeita à Apreciação do Plenário,"Revoga o parágrafo único do art. 7º da Constituição Federal, para estabelecer a igualdade de direitos trabalhistas entre os empregados domésticos e os demais trabalhadores urbanos e rurais.",MESA - Aguardando Retorno ,PEC,2010,478,Carlos Bezerra,Especial,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=755258,2010-04-14,473496
"
  ",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre isenção do Imposto Sobre Serviços de Qualquer Natureza, de competência dos Municípios e do Distrito Federal, à Fédération Internationale de Football Association - FIFA e a outras pessoas, para fatos geradores relacionados com a Copa das Confederações FIFA 2013 e com a Copa do Mundo FIFA 2014.",MESA - Aguardando Retorno ,PLP,2010,579,Poder Executivo,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=774894,2010-05-28,479328
Atribui à Defensoria Pública dos Estados os direitos e deveres previstos na Lei de Responsabilidade Fiscal.,Proposição Sujeita à Apreciação do Plenário,"Altera dispositivos da Lei Complementar nº 101, de 4 de maio de 2000, que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências.",MESA - Aguardando Apreciacao do Veto,PLP,2011,114,Senado Federal - José Pimentel,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=946552,2011-12-01,529884
"
  ",Proposição Sujeita à Apreciação do Plenário,"Modifica as Leis nº 9.478, de 6 de agosto de 1997, e nº 12.351, de 22 de dezembro de 2010, para determinar novas regras de distribuição entre os entes da Federação dos royalties e da participação especial devidos em função da exploração de petróleo, gás natural e outros hidrocarbonetos fluidos, e para aprimorar o marco regulatório sobre a exploração desses recursos no regime de partilha.",Tranformada no(a) Lei Ordinária 12734/2012,PL,2011,2565,Senado Federal - Wellington Dias,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=932480,2011-10-24,524645
"Altera o Decreto-lei nº 2.848, de 1940.  
Conhecida como Lei Carolina Dieckmann.",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre a tipificação criminal de delitos informáticos e dá outras providências. 
NOVA EMENTA: Dispõe sobre a tipificação criminal de delitos informáticos; altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal; e dá outras providências.",Tranformada no(a) Lei Ordinária 12737/2012,PL,2011,2793,Paulo Teixeira,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=944218,2011-11-29,529011
"
  ",Proposição Sujeita à Apreciação do Plenário,"Altera a Lei nº 10.683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios, cria a Secretaria da Micro e Pequena Empresa, cria cargo de Ministro de Estado e cargos em comissão, e dá outras providências.",MESA - Aguardando Retorno ,PL,2011,865,Poder Executivo,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=854734,2011-03-31,496725
"O PLV altera também as Leis nºs 12.249, de 2010; 11.775, de 2008; 10.833, de 2003; 12.375, de 2010; 9.430, de 1996; 10.522, de 2002; 10.893, de 2004; 12. 599, de 2012.",Proposição Sujeita à Apreciação do Plenário,"Estabelece medidas para estimular o pagamento de débitos relativos ao Programa de Formação do Patrimônio do Servidor Público - PASEP, de responsabilidade dos Estados, do Distrito Federal, dos Municípios, e de suas autarquias e fundações; altera o art. 1º da Lei nº 10.925, de 23 de julho de 2004, para prorrogar a vigência da redução a zero das alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social - COFINS incidentes na importação e sobre a receita decorrente da venda no mercado interno das massas alimentícias que menciona.

NOVA EMENTA: Estabelece medidas para estimular o pagamento de débitos relativos ao Programa de Formação do Patrimônio do Servidor Público - PASEP, de responsabilidade dos Estados, do Distrito Federal, dos Municípios e de suas autarquias e fundações; altera o art. 1º da Lei nº 10.925, de 23 de julho de 2004, para prorrogar a vigência da redução a zero das alíquotas da Contribuição para o PIS/Pasep e da Contribuição para o Financiamento da Seguridade Social - COFINS incidentes na importação e sobre a receita decorrente da venda no mercado interno das massas alimentícias que menciona, e as Leis nºs 12.249, de 11 de junho de 2010, 11.775, de 17 de setembro de 2008, 10.833, de 29 de dezembro de 2003, 12.375, de 30 de dezembro de 2010, 9.430, de 27 de dezembro de 1996, 10.522, de 19 de julho de 2002, 10.893, de 13 de julho de 2004, e 12.599, de 23 de março de 2012; e revoga dispositivo da Lei nº 10.637, de 30 de dezembro de 2002.",Originou o(a) PLV 22/2012 MPV57412 => MPV 574/2012,MPV,2012,574,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1007778,2012-06-29,549909
"Permite que a contraprestação paga pelo setor público às empresas seja desconsiderado para efeito de recolhimento de Contribuição Social sobre o Lucro Líquido (CSLL) e PIS-Pasep e Cofins e autoriza os Estados, Distrito Federal e Municípios a comprometerem até 5% (cinco por cento) de suas receitas líquidas com o pagamento de contraprestações em PPPs. ",Proposição Sujeita à Apreciação do Plenário,"Altera a Lei nº 11.079, de 30 de dezembro de 2004, que institui normas gerais para licitação e contratação de parceria público-privada no âmbito da administração pública.

NOVA EMENTA: Altera as Leis nºs 11.079, de 30 de dezembro de 2004, que institui normas gerais para licitação e contratação de parceria público-privada no âmbito da administração pública, para dispor sobre o aporte de recursos em favor do parceiro privado, 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, 12.058, de 13 de outubro de 2009, 9.430, de 27 de dezembro de 1996, 10.420, de 10 de abril de 2002, 10.925, de 23 de julho de 2004, 10.602, de 12 de dezembro de 2002, e 9.718, de 27 de novembro de 1998, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001, e dá outras providências.",Tranformada no(a) Lei Ordinária 12766/2012,MPV,2012,575,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1017608,2012-08-08,552689
"
  ",Proposição Sujeita à Apreciação do Plenário,"Altera as Leis nº 10.233, de 5 de junho de 2001, e nº 12.404, de 4 de maio de 2011, para modificar a denominação da Empresa de Transporte Ferroviário de Alta Velocidade S.A. - ETAV para Empresa de Planejamento e Logística S.A. - EPL, e ampliar suas competências.",Tranformada no(a) Lei Ordinária 12743/2012,MPV,2012,576,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1019357,2012-08-16,553247
"Altera as leis nºs 10.438 de 2002; 12.111 de 2009;  9.648 de 1998; 9.427 de 1996 e 8.631 de 1993.
",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre as concessões de geração, transmissão e distribuição de energia elétrica, sobre a redução dos encargos setoriais, sobre a modicidade tarifária, e dá outras providências.",Tranformada no(a) Lei Ordinária 12783/2013,MPV,2012,579,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1025078,2012-09-12,555727
